edad,hombre,estrato_energia,tipo_ocupacion,maximo_nivel_educativo,ocupado,nivel_educativo_alto,grado_escolar_aprobado,actividad_ultima_semana,cotizante,pet,llave_hogar,llave_persona,llave_vivienda,horas_trabajadas,ingreso_total,tamanio_firma,informal,chunk,chunk_origen,ans_educ,nivel_educ,exp_potencial,estrato_factor,ln_ingreso_total,edu_may_10,mujer
19,0,3,1,7,1,6,1,1,1,1,1,3,4514395,48,916666.6875,5,0,1,https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_1.html,11.5,terciaria,1.5,3,13.728499203701917,1,1
37,0,3,1,7,1,6,3,6,1,1,1,1,4514395,48,889357,5,0,1,https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_1.html,12.5,terciaria,18.5,3,13.69825400868961,1,1
18,0,3,1,7,1,6,2,1,1,1,1,4,4514395,48,1008333.3125,3,0,1,https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_1.html,12,terciaria,0,3,13.823809340117812,1,1
39,0,4,4,7,1,6,4,6,2,1,1,2,4514397,20,737717,2,1,1,https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_1.html,13,terciaria,20,4,13.511315561204945,1,1
41,1,4,1,7,1,6,5,6,1,1,1,1,4514397,48,5416666.5,5,0,1,https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_1.html,13.5,terciaria,21.5,4,15.504991147302679,1,0
33,0,4,1,7,1,6,7,1,1,1,1,3,4514398,30,650000,3,0,1,https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_1.html,14.5,terciaria,12.5,4,13.38472764187182,1,1
59,1,3,4,7,1,6,3,6,2,1,1,1,4514401,30,750000,1,1,1,https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_1.html,12.5,terciaria,40.5,3,13.527828485512494,1,0
49,1,2,4,6,1,5,11,1,2,1,1,2,4514402,70,66666.6640625,1,1,1,https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_1.html,11,media,32,2,11.107460317799564,1,0
53,0,2,1,6,1,5,11,1,1,1,1,1,4514402,48,849857,5,0,1,https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_1.html,11,media,36,2,13.652823379019237,1,1
60,0,3,3,4,1,3,5,6,2,1,1,1,4514403,45,737717,1,1,1,https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_1.html,5,primaria,49,3,13.511315561204945,0,1
27,1,2,4,7,1,6,2,6,2,1,1,3,4514404,9,120000,1,1,1,https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_1.html,12,terciaria,9,2,11.695247021764184,1,0
43,0,2,2,7,1,6,5,6,1,1,1,2,4514404,30,1602000,5,0,1,https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_1.html,13.5,terciaria,23.5,2,14.286763406610442,1,1
62,0,2,1,6,1,5,11,6,2,1,1,1,4514404,48,780000,3,1,1,https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_1.html,11,media,45,2,13.567049198665774,1,1
47,1,2,1,6,1,5,11,1,2,1,1,1,4514405,60,3200000,3,1,1,https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_1.html,11,media,30,2,14.978661367769956,1,0
18,1,3,1,7,1,6,2,6,2,1,1,2,4514406,15,300000,2,1,1,https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_1.html,12,terciaria,0,3,12.611537753638338,1,0
44,0,3,1,7,1,6,3,4,1,1,1,1,4514406,10,700000,3,0,1,https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_1.html,12.5,terciaria,25.5,3,13.458835614025542,1,1
42,0,2,4,6,1,5,11,1,2,1,1,1,4514409,40,800000,1,1,1,https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_1.html,11,media,25,2,13.592367006650065,1,1
